Month,Precipitation
1887-01-01,197.6
1887-02-01,95.0
1887-03-01,37.1
1887-04-01,74.2
1887-05-01,65.3
1887-06-01,175.5
1887-07-01,114.6
1887-08-01,90.4
1887-09-01,26.7
1887-10-01,62.2
1887-11-01,58.9
1887-12-01,142.0
1888-01-01,129.0
1888-02-01,122.2
1888-03-01,108.2
1888-04-01,51.1
1888-05-01,69.6
1888-06-01,49.3
1888-07-01,87.9
1888-08-01,114.3
1888-09-01,138.2
1888-10-01,201.9
1888-11-01,170.2
1888-12-01,110.7
1889-01-01,87.4
1889-02-01,104.9
1889-03-01,103.1
1889-04-01,81.0
1889-05-01,55.9
1889-06-01,72.4
1889-07-01,93.7
1889-08-01,50.8
1889-09-01,64.0
1889-10-01,127.5
1889-11-01,116.8
1889-12-01,115.8
1890-01-01,95.5
1890-02-01,116.3
1890-03-01,148.6
1890-04-01,49.5
1890-05-01,157.2
1890-06-01,70.4
1890-07-01,50.0
1890-08-01,135.9
1890-09-01,123.4
1890-10-01,57.9
1890-11-01,72.1
1890-12-01,66.5
1891-01-01,139.7
1891-02-01,79.5
1891-03-01,69.9
1891-04-01,34.8
1891-05-01,41.7
1891-06-01,76.2
1891-07-01,66.3
1891-08-01,103.1
1891-09-01,67.3
1891-10-01,112.5
1891-11-01,58.7
1891-12-01,75.9
1892-01-01,146.3
1892-02-01,47.8
1892-03-01,91.4
1892-04-01,38.4
1892-05-01,55.1
1892-06-01,89.9
1892-07-01,30.7
1892-08-01,117.9
1892-09-01,30.7
1892-10-01,37.8
1892-11-01,80.5
1892-12-01,51.3
1893-01-01,52.8
1893-02-01,82.8
1893-03-01,34.3
1893-04-01,49.3
1893-05-01,48.5
1893-06-01,47.0
1893-07-01,66.3
1893-08-01,102.6
1893-09-01,49.0
1893-10-01,46.5
1893-11-01,25.1
1893-12-01,154.4
1894-01-01,50.8
1894-02-01,32.5
1894-03-01,30.2
1894-04-01,53.6
1894-05-01,42.9
1894-06-01,85.6
1894-07-01,30.7
1894-08-01,33.5
1894-09-01,37.1
1894-10-01,61.5
1894-11-01,66.5
1894-12-01,55.1
1895-01-01,68.6
1895-02-01,49.0
1895-03-01,73.7
1895-04-01,58.2
1895-05-01,32.8
1895-06-01,37.1
1895-07-01,80.5
1895-08-01,122.7
1895-09-01,50.8
1895-10-01,29.2
1895-11-01,162.8
1895-12-01,69.9
1896-01-01,21.3
1896-02-01,70.4
1896-03-01,69.1
1896-04-01,21.8
1896-05-01,25.4
1896-06-01,68.8
1896-07-01,107.7
1896-08-01,27.2
1896-09-01,93.2
1896-10-01,159.3
1896-11-01,93.7
1896-12-01,43.2
1897-01-01,79.8
1897-02-01,36.8
1897-03-01,102.4
1897-04-01,85.1
1897-05-01,200.2
1897-06-01,84.3
1897-07-01,70.6
1897-08-01,70.9
1897-09-01,46.2
1897-10-01,15.5
1897-11-01,147.1
1897-12-01,66.3
1898-01-01,137.4
1898-02-01,161.8
1898-03-01,67.3
1898-04-01,96.5
1898-05-01,54.4
1898-06-01,78.5
1898-07-01,16.8
1898-08-01,54.6
1898-09-01,74.4
1898-10-01,174.0
1898-11-01,155.4
1898-12-01,75.9
1899-01-01,98.0
1899-02-01,85.1
1899-03-01,139.2
1899-04-01,22.6
1899-05-01,99.6
1899-06-01,65.5
1899-07-01,121.4
1899-08-01,13.5
1899-09-01,51.6
1899-10-01,48.8
1899-11-01,93.5
1899-12-01,86.9
1900-01-01,133.9
1900-02-01,114.6
1900-03-01,126.2
1900-04-01,62.7
1900-05-01,131.6
1900-06-01,101.6
1900-07-01,34.8
1900-08-01,65.5
1900-09-01,38.6
1900-10-01,209.8
1900-11-01,111.8
1900-12-01,71.6
1901-01-01,121.9
1901-02-01,41.9
1901-03-01,124.0
1901-04-01,141.7
1901-05-01,83.6
1901-06-01,138.4
1901-07-01,23.1
1901-08-01,63.0
1901-09-01,74.2
1901-10-01,43.7
1901-11-01,48.5
1901-12-01,152.9
1902-01-01,86.6
1902-02-01,77.7
1902-03-01,231.4
1902-04-01,54.9
1902-05-01,97.8
1902-06-01,63.8
1902-07-01,26.7
1902-08-01,82.0
1902-09-01,61.7
1902-10-01,85.3
1902-11-01,37.3
1902-12-01,146.6
1903-01-01,97.8
1903-02-01,101.9
1903-03-01,126.5
1903-04-01,84.6
1903-05-01,64.0
1903-06-01,42.9
1903-07-01,97.8
1903-08-01,29.0
1903-09-01,41.1
1903-10-01,71.9
1903-11-01,91.2
1903-12-01,82.8
1904-01-01,77.2
1904-02-01,100.8
1904-03-01,125.7
1904-04-01,85.3
1904-05-01,56.6
1904-06-01,32.8
1904-07-01,53.3
1904-08-01,154.9
1904-09-01,136.1
1904-10-01,64.5
1904-11-01,39.1
1904-12-01,61.2
1905-01-01,105.2
1905-02-01,70.4
1905-03-01,27.9
1905-04-01,21.1
1905-05-01,67.1
1905-06-01,77.0
1905-07-01,66.5
1905-08-01,44.7
1905-09-01,109.7
1905-10-01,11.9
1905-11-01,109.0
1905-12-01,99.3
1906-01-01,85.3
1906-02-01,58.4
1906-03-01,160.5
1906-04-01,89.2
1906-05-01,143.0
1906-06-01,37.1
1906-07-01,51.1
1906-08-01,45.5
1906-09-01,19.8
1906-10-01,92.5
1906-11-01,90.4
1906-12-01,130.3
1907-01-01,128.3
1907-02-01,116.6
1907-03-01,80.5
1907-04-01,115.3
1907-05-01,46.7
1907-06-01,39.9
1907-07-01,109.7
1907-08-01,61.7
1907-09-01,112.0
1907-10-01,119.6
1907-11-01,72.4
1907-12-01,125.5
1908-01-01,105.9
1908-02-01,94.2
1908-03-01,100.6
1908-04-01,67.1
1908-05-01,65.5
1908-06-01,25.7
1908-07-01,49.5
1908-08-01,84.3
1908-09-01,40.6
1908-10-01,103.9
1908-11-01,38.6
1908-12-01,127.3
1909-01-01,180.1
1909-02-01,120.9
1909-03-01,129.5
1909-04-01,98.0
1909-05-01,39.6
1909-06-01,40.4
1909-07-01,85.6
1909-08-01,40.9
1909-09-01,162.6
1909-10-01,64.5
1909-11-01,91.9
1909-12-01,42.9
1910-01-01,96.5
1910-02-01,114.8
1910-03-01,50.3
1910-04-01,86.9
1910-05-01,39.4
1910-06-01,69.1
1910-07-01,48.8
1910-08-01,36.6
1910-09-01,46.7
1910-10-01,47.0
1910-11-01,54.4
1910-12-01,93.5
1911-01-01,75.7
1911-02-01,62.7
1911-03-01,93.5
1911-04-01,64.8
1911-05-01,3.3
1911-06-01,128.8
1911-07-01,88.9
1911-08-01,64.3
1911-09-01,67.8
1911-10-01,39.9
1911-11-01,97.3
1911-12-01,71.1
1912-01-01,111.0
1912-02-01,54.9
1912-03-01,95.5
1912-04-01,77.7
1912-05-01,99.8
1912-06-01,34.3
1912-07-01,57.2
1912-08-01,95.5
1912-09-01,42.4
1912-10-01,77.5
1912-11-01,72.6
1912-12-01,148.1
1913-01-01,101.9
1913-02-01,67.6
1913-03-01,163.3
1913-04-01,56.6
1913-05-01,102.1
1913-06-01,18.0
1913-07-01,68.1
1913-08-01,56.9
1913-09-01,42.9
1913-10-01,144.8
1913-11-01,22.9
1913-12-01,79.8
1914-01-01,106.2
1914-02-01,57.4
1914-03-01,95.8
1914-04-01,99.8
1914-05-01,20.3
1914-06-01,82.0
1914-07-01,30.7
1914-08-01,64.5
1914-09-01,74.2
1914-10-01,65.0
1914-11-01,70.6
1914-12-01,49.5
1915-01-01,147.3
1915-02-01,65.3
1915-03-01,14.5
1915-04-01,90.9
1915-05-01,79.8
1915-06-01,87.6
1915-07-01,95.3
1915-08-01,68.1
1915-09-01,30.7
1915-10-01,47.2
1915-11-01,54.9
1915-12-01,97.0
1916-01-01,47.2
1916-02-01,67.3
1916-03-01,41.7
1916-04-01,65.3
1916-05-01,35.1
1916-06-01,96.3
1916-07-01,123.7
1916-08-01,46.2
1916-09-01,61.2
1916-10-01,69.3
1916-11-01,53.8
1916-12-01,101.1
1917-01-01,98.3
1917-02-01,70.9
1917-03-01,74.9
1917-04-01,81.8
1917-05-01,41.1
1917-06-01,188.0
1917-07-01,48.3
1917-08-01,112.8
1917-09-01,38.4
1917-10-01,101.9
1917-11-01,43.7
1917-12-01,75.9
1918-01-01,73.2
1918-02-01,100.3
1918-03-01,55.1
1918-04-01,53.3
1918-05-01,38.1
1918-06-01,82.8
1918-07-01,75.7
1918-08-01,39.9
1918-09-01,118.1
1918-10-01,84.6
1918-11-01,50.8
1918-12-01,58.7
1919-01-01,77.7
1919-02-01,47.2
1919-03-01,67.8
1919-04-01,54.6
1919-05-01,101.1
1919-06-01,31.8
1919-07-01,71.6
1919-08-01,75.7
1919-09-01,97.8
1919-10-01,85.3
1919-11-01,104.1
1919-12-01,76.7
1920-01-01,52.6
1920-02-01,162.6
1920-03-01,110.7
1920-04-01,106.9
1920-05-01,32.0
1920-06-01,49.5
1920-07-01,31.2
1920-08-01,53.3
1920-09-01,85.9
1920-10-01,55.4
1920-11-01,64.0
1920-12-01,84.1
1921-01-01,53.3
1921-02-01,73.2
1921-03-01,76.5
1921-04-01,75.7
1921-05-01,31.8
1921-06-01,25.9
1921-07-01,45.5
1921-08-01,45.7
1921-09-01,59.9
1921-10-01,42.2
1921-11-01,129.8
1921-12-01,33.8
1922-01-01,48.3
1922-02-01,78.7
1922-03-01,68.6
1922-04-01,44.7
1922-05-01,57.7
1922-06-01,62.2
1922-07-01,93.7
1922-08-01,239.8
1922-09-01,24.4
1922-10-01,76.5
1922-11-01,49.0
1922-12-01,82.8
1923-01-01,125.7
1923-02-01,59.9
1923-03-01,98.6
1923-04-01,105.9
1923-05-01,38.6
1923-06-01,69.6
1923-07-01,68.3
1923-08-01,62.7
1923-09-01,34.5
1923-10-01,59.7
1923-11-01,57.7
1923-12-01,80.8
1924-01-01,91.9
1924-02-01,27.2
1924-03-01,28.7
1924-04-01,58.2
1924-05-01,46.5
1924-06-01,48.8
1924-07-01,83.6
1924-08-01,121.7
1924-09-01,63.0
1924-10-01,29.0
1924-11-01,40.4
1924-12-01,53.1
1925-01-01,82.3
1925-02-01,49.5
1925-03-01,96.3
1925-04-01,38.9
1925-05-01,30.0
1925-06-01,72.9
1925-07-01,68.3
1925-08-01,48.8
1925-09-01,81.8
1925-10-01,148.3
1925-11-01,88.9
1925-12-01,52.6
1926-01-01,104.4
1926-02-01,91.7
1926-03-01,74.7
1926-04-01,47.2
1926-05-01,48.8
1926-06-01,70.4
1926-07-01,29.2
1926-08-01,48.8
1926-09-01,56.6
1926-10-01,242.3
1926-11-01,88.1
1926-12-01,78.5
1927-01-01,80.0
1927-02-01,68.8
1927-03-01,56.4
1927-04-01,30.2
1927-05-01,57.2
1927-06-01,107.2
1927-07-01,114.3
1927-08-01,165.9
1927-09-01,123.4
1927-10-01,179.1
1927-11-01,127.8
1927-12-01,112.0
1928-01-01,80.8
1928-02-01,40.4
1928-03-01,62.7
1928-04-01,54.4
1928-05-01,52.3
1928-06-01,89.4
1928-07-01,81.3
1928-08-01,100.1
1928-09-01,95.5
1928-10-01,67.6
1928-11-01,43.4
1928-12-01,69.6
1929-01-01,90.9
1929-02-01,54.6
1929-03-01,79.0
1929-04-01,68.3
1929-05-01,83.3
1929-06-01,39.4
1929-07-01,37.6
1929-08-01,54.1
1929-09-01,108.7
1929-10-01,42.4
1929-11-01,57.2
1929-12-01,90.7
1930-01-01,54.4
1930-02-01,113.5
1930-03-01,74.2
1930-04-01,37.8
1930-05-01,32.0
1930-06-01,43.2
1930-07-01,120.9
1930-08-01,58.9
1930-09-01,30.7
1930-10-01,31.5
1930-11-01,38.1
1930-12-01,61.5
1931-01-01,73.7
1931-02-01,57.2
1931-03-01,71.1
1931-04-01,58.7
1931-05-01,65.3
1931-06-01,90.4
1931-07-01,122.4
1931-08-01,104.4
1931-09-01,91.7
1931-10-01,119.9
1931-11-01,23.9
1931-12-01,60.2
1932-01-01,105.7
1932-02-01,62.5
1932-03-01,67.8
1932-04-01,63.2
1932-05-01,64.3
1932-06-01,39.6
1932-07-01,92.5
1932-08-01,68.3
1932-09-01,52.8
1932-10-01,91.7
1932-11-01,41.9
1932-12-01,56.1
1933-01-01,63.8
1933-02-01,69.1
1933-03-01,37.1
1933-04-01,83.6
1933-05-01,95.0
1933-06-01,80.5
1933-07-01,33.0
1933-08-01,113.0
1933-09-01,128.0
1933-10-01,152.9
1933-11-01,84.3
1933-12-01,69.3
1934-01-01,74.7
1934-02-01,59.4
1934-03-01,58.9
1934-04-01,66.3
1934-05-01,38.4
1934-06-01,84.6
1934-07-01,88.9
1934-08-01,67.1
1934-09-01,92.7
1934-10-01,67.1
1934-11-01,89.4
1934-12-01,70.9
1935-01-01,185.9
1935-02-01,57.7
1935-03-01,37.6
1935-04-01,47.5
1935-05-01,26.7
1935-06-01,53.8
1935-07-01,60.5
1935-08-01,54.1
1935-09-01,75.7
1935-10-01,26.4
1935-11-01,122.4
1935-12-01,27.2
1936-01-01,82.3
1936-02-01,43.9
1936-03-01,113.8
1936-04-01,67.1
1936-05-01,67.8
1936-06-01,103.4
1936-07-01,27.4
1936-08-01,60.5
1936-09-01,79.5
1936-10-01,84.3
1936-11-01,55.9
1936-12-01,142.7
1937-01-01,77.5
1937-02-01,16.3
1937-03-01,34.8
1937-04-01,44.5
1937-05-01,55.9
1937-06-01,82.0
1937-07-01,19.1
1937-08-01,31.0
1937-09-01,112.0
1937-10-01,70.6
1937-11-01,60.2
1937-12-01,38.4
1938-01-01,52.6
1938-02-01,50.5
1938-03-01,39.4
1938-04-01,63.2
1938-05-01,53.8
1938-06-01,95.8
1938-07-01,119.4
1938-08-01,57.7
1938-09-01,138.2
1938-10-01,52.8
1938-11-01,70.4
1938-12-01,64.3
1939-01-01,39.9
1939-02-01,80.5
1939-03-01,92.7
1939-04-01,100.3
1939-05-01,35.6
1939-06-01,55.6
1939-07-01,101.9
1939-08-01,25.1
1939-09-01,38.9
1939-10-01,100.6
1939-11-01,64.3
1939-12-01,94.2
1940-01-01,14.2
1940-02-01,45.0
1940-03-01,68.6
1940-04-01,59.7
1940-05-01,30.5
1940-06-01,55.9
1940-07-01,42.4
1940-08-01,59.4
1940-09-01,174.0
1940-10-01,24.6
1940-11-01,111.0
1940-12-01,83.3
1941-01-01,30.7
1941-02-01,10.2
1941-03-01,46.5
1941-04-01,11.7
1941-05-01,81.0
1941-06-01,13.2
1941-07-01,90.7
1941-08-01,89.7
1941-09-01,32.0
1941-10-01,111.3
1941-11-01,45.5
1941-12-01,50.3
1942-01-01,68.1
1942-02-01,32.8
1942-03-01,104.9
1942-04-01,39.9
1942-05-01,36.8
1942-06-01,77.7
1942-07-01,66.5
1942-08-01,47.8
1942-09-01,88.4
1942-10-01,70.9
1942-11-01,68.1
1942-12-01,67.6
1943-01-01,39.1
1943-02-01,88.9
1943-03-01,111.0
1943-04-01,74.2
1943-05-01,67.3
1943-06-01,152.7
1943-07-01,106.9
1943-08-01,167.9
1943-09-01,95.0
1943-10-01,129.8
1943-11-01,192.8
1943-12-01,35.8
1944-01-01,23.1
1944-02-01,112.3
1944-03-01,118.4
1944-04-01,81.5
1944-05-01,20.1
1944-06-01,78.7
1944-07-01,44.5
1944-08-01,16.8
1944-09-01,151.9
1944-10-01,84.6
1944-11-01,65.3
1944-12-01,27.4
1945-01-01,67.6
1945-02-01,64.5
1945-03-01,72.6
1945-04-01,57.4
1945-05-01,102.4
1945-06-01,97.8
1945-07-01,40.9
1945-08-01,27.2
1945-09-01,45.7
1945-10-01,110.7
1945-11-01,76.5
1945-12-01,52.6
1946-01-01,49.0
1946-02-01,89.2
1946-03-01,40.6
1946-04-01,100.8
1946-05-01,57.4
1946-06-01,13.2
1946-07-01,40.9
1946-08-01,47.2
1946-09-01,27.4
1946-10-01,60.2
1946-11-01,19.1
1946-12-01,24.6
1947-01-01,56.4
1947-02-01,76.5
1947-03-01,56.9
1947-04-01,15.7
1947-05-01,100.6
1947-06-01,74.2
1947-07-01,96.3
1947-08-01,15.2
1947-09-01,47.8
1947-10-01,4.1
1947-11-01,47.0
1947-12-01,41.4
1948-01-01,77.2
1948-02-01,31.0
1948-03-01,46.2
1948-04-01,22.9
1948-05-01,84.3
1948-06-01,45.2
1948-07-01,74.4
1948-08-01,36.3
1948-09-01,20.3
1948-10-01,49.3
1948-11-01,99.6
1948-12-01,56.1
1949-01-01,84.3
1949-02-01,88.1
1949-03-01,60.5
1949-04-01,48.3
1949-05-01,65.0
1949-06-01,38.9
1949-07-01,24.9
1949-08-01,45.0
1949-09-01,112.3
1949-10-01,40.1
1949-11-01,128.5
1949-12-01,63.5
1950-01-01,79.2
1950-02-01,59.4
1950-03-01,38.9
1950-04-01,79.2
1950-05-01,14.0
1950-06-01,109.7
1950-07-01,31.0
1950-08-01,151.6
1950-09-01,38.6
1950-10-01,21.8
1950-11-01,185.4
1950-12-01,154.7