'Elapsed time','V5','V2'
210.008,4.82500000,3.37000000
210.024,4.83000000,4.66000000
210.040,4.80000000,5.52500000
210.056,4.83000000,5.84000000
210.072,4.84500000,6.00000000
210.088,4.85000000,6.14500000
210.104,4.84000000,6.28500000
210.120,4.84000000,6.47500000
210.136,4.83500000,6.66000000
210.152,4.85000000,6.84000000
210.168,4.90000000,6.93500000
210.184,4.97000000,6.92000000
210.200,5.00500000,6.81500000
210.216,5.04000000,6.57500000
210.232,5.05500000,6.22500000
210.248,5.06500000,5.88000000
210.264,5.04500000,5.57500000
210.280,5.02500000,5.36000000
210.296,4.99000000,5.22000000
210.312,4.97000000,5.15000000
210.328,4.96500000,5.12000000
210.344,4.95000000,5.11000000
210.360,4.94500000,5.11000000
210.376,4.94000000,5.11000000
210.392,4.94000000,5.11000000
210.408,4.93000000,5.11000000
210.424,4.92000000,5.10500000
210.440,4.90500000,5.07500000
210.456,4.91000000,5.06000000
210.472,4.91000000,5.02500000
210.488,4.90500000,5.00500000
210.504,4.91000000,4.99500000
210.520,4.90000000,4.98000000
210.536,4.90000000,4.96000000
210.552,4.90500000,4.95000000
210.568,4.90500000,4.94000000
210.584,4.90000000,4.93500000
210.600,4.89000000,4.92000000
210.616,4.91000000,4.91000000
210.632,4.91500000,4.90500000
210.648,4.91000000,4.91000000
210.664,4.93000000,4.92000000
210.680,5.01500000,5.83000000
210.696,5.88500000,5.20500000
210.712,5.35000000,4.61000000
210.728,5.35000000,3.54500000
210.744,5.32500000,2.60500000
210.760,5.13500000,2.09500000
210.776,4.78000000,1.99000000
210.792,4.78500000,2.01500000
210.808,4.82000000,2.49000000
210.824,4.92000000,3.72500000
210.840,4.86000000,4.89500000
210.856,4.88000000,5.62500000
210.872,4.89000000,5.85000000
210.888,4.90500000,6.00500000
210.904,4.89000000,6.14500000
210.920,4.89000000,6.27500000
210.936,4.89000000,6.42000000
210.952,4.89500000,6.58000000
210.968,4.91000000,6.72500000
210.984,4.93500000,6.84000000
211.000,4.96000000,6.87000000
211.016,5.01500000,6.78000000
211.032,5.06000000,6.54000000
211.048,5.09500000,6.23500000
211.064,5.11000000,5.90000000
211.080,5.09500000,5.59500000
211.096,5.09000000,5.36500000
211.112,5.08000000,5.20000000
211.128,5.05000000,5.09500000
211.144,5.00500000,5.10000000
211.160,4.97500000,5.08000000
211.176,4.94500000,5.08000000
211.192,4.95000000,5.08000000
211.208,4.95000000,5.09000000
211.224,4.94500000,5.09000000
211.240,4.93000000,5.07000000
211.256,4.92000000,5.05500000
211.272,4.92500000,5.02000000
211.288,4.91000000,5.00000000
211.304,4.92000000,4.99000000
211.320,4.91000000,4.96500000
211.336,4.88500000,4.96000000
211.352,4.92000000,4.96500000
211.368,4.91000000,4.95500000
211.384,4.90500000,4.95000000
211.400,4.90500000,4.94000000
211.416,4.92000000,4.93500000
211.432,4.93500000,4.93000000
211.448,4.94000000,4.92000000
211.464,4.94000000,4.91000000
211.480,4.96000000,4.93500000
211.496,5.09000000,5.88500000
211.512,5.54500000,5.22500000
211.528,5.43000000,4.59000000
211.544,5.39500000,3.09000000
211.560,5.44000000,2.40000000
211.576,5.25500000,2.06500000
211.592,4.85500000,2.00000000
211.608,4.87500000,2.05500000
211.624,4.78000000,2.61000000
211.640,4.82500000,3.83500000
211.656,4.81000000,4.99000000
211.672,4.86000000,5.67000000
211.688,4.82500000,5.90500000
211.704,4.87500000,6.07000000
211.720,4.87500000,6.21000000
211.736,4.86000000,6.37000000
211.752,4.84500000,6.56000000
211.768,4.86500000,6.73500000
211.784,4.89500000,6.88500000
211.800,4.93000000,6.97000000
211.816,4.99000000,6.95000000
211.832,5.02500000,6.75500000
211.848,5.03500000,6.46500000
211.864,5.09500000,6.11000000
211.880,5.14000000,5.80000000
211.896,5.06500000,5.56500000
211.912,5.05500000,5.36500000
211.928,5.04500000,5.21000000
211.944,5.02000000,5.10500000
211.960,4.99500000,5.09500000
211.976,4.98000000,5.08000000
211.992,4.97500000,5.07000000
212.008,4.94000000,5.08500000
212.024,4.95500000,5.09000000
212.040,4.94000000,5.09000000
212.056,4.92000000,5.07500000
212.072,4.94000000,5.06000000
212.088,4.91500000,5.05000000
212.104,4.91500000,5.02500000
212.120,4.90500000,5.00500000
212.136,4.90500000,4.99500000
212.152,4.90500000,4.97500000
212.168,4.92500000,4.97000000
212.184,4.91500000,4.97000000
212.200,4.91000000,4.95500000
212.216,4.90500000,4.94000000
212.232,4.90500000,4.94000000
212.248,4.91500000,4.93000000
212.264,4.92000000,4.94000000
212.280,4.93500000,4.94000000
212.296,4.98500000,5.30500000
212.312,5.88500000,5.38000000
212.328,5.37000000,5.09500000
212.344,5.43000000,3.95500000
212.360,5.39000000,2.76500000
212.376,5.29500000,2.24500000
212.392,4.95000000,2.06500000
212.408,4.68000000,2.04500000
212.424,4.68000000,2.23500000
212.440,4.74000000,3.05500000
212.456,4.79500000,4.30500000
212.472,4.76500000,5.28500000
212.488,4.80500000,5.76000000
212.504,4.82000000,5.95000000
212.520,4.81000000,6.08000000
212.536,4.80000000,6.21000000
212.552,4.78000000,6.36500000
212.568,4.78000000,6.53500000
212.584,4.78000000,6.69000000
212.600,4.79500000,6.83000000
212.616,4.83500000,6.94000000
212.632,4.90000000,6.89500000
212.648,4.95000000,6.70000000
212.664,5.00500000,6.38000000
212.680,5.03500000,6.05000000
212.696,5.02500000,5.75500000
212.712,5.01000000,5.54000000
212.728,4.98500000,5.39500000
212.744,4.98000000,5.26000000
212.760,4.98500000,5.17500000
212.776,4.96500000,5.11500000
212.792,4.94500000,5.12500000
212.808,4.91500000,5.12500000
212.824,4.91500000,5.13500000
212.840,4.90000000,5.13000000
212.856,4.88000000,5.15000000
212.872,4.89000000,5.12000000
212.888,4.88000000,5.12000000
212.904,4.86000000,5.10500000
212.920,4.84000000,5.09000000
212.936,4.84500000,5.06500000
212.952,4.84500000,5.04500000
212.968,4.83500000,5.04000000
212.984,4.84000000,5.02000000
213.000,4.84000000,5.02500000
213.016,4.83500000,5.01500000
213.032,4.82500000,5.00500000
213.048,4.84500000,5.00000000
213.064,4.83000000,4.98500000
213.080,4.83000000,4.98500000
213.096,4.83000000,4.97500000
213.112,4.83000000,4.97000000
213.128,4.85000000,4.96500000
213.144,4.87500000,5.04500000
213.160,5.31000000,5.61000000
213.176,5.32000000,5.28000000
213.192,5.32500000,4.72000000
213.208,5.36500000,3.47000000
213.224,5.35000000,2.63500000
213.240,5.28500000,2.22500000
213.256,4.99500000,2.09500000
213.272,4.80500000,2.09000000
213.288,4.78000000,2.26000000
213.304,4.75500000,2.97500000
213.320,4.77000000,4.17500000
213.336,4.74000000,5.20000000
213.352,4.74000000,5.79500000
213.368,4.76000000,6.01000000
213.384,4.75500000,6.15500000
213.400,4.75500000,6.26000000
213.416,4.75000000,6.42000000
213.432,4.74000000,6.58500000
213.448,4.73500000,6.74500000
213.464,4.75000000,6.91000000
213.480,4.77000000,7.05000000
213.496,4.82000000,7.07000000
213.512,4.87000000,7.00000000
213.528,4.92000000,6.83500000
213.544,4.96000000,6.55000000
213.560,5.00000000,6.21500000
213.576,5.01500000,5.89500000
213.592,5.00500000,5.63500000
213.608,4.99000000,5.45500000
213.624,4.96000000,5.32500000
213.640,4.95500000,5.25000000
213.656,4.93500000,5.20500000
213.672,4.93500000,5.19500000
213.688,4.94000000,5.18000000
213.704,4.91500000,5.17500000
213.720,4.93000000,5.18000000
213.736,4.92000000,5.17500000
213.752,4.90500000,5.18000000
213.768,4.87000000,5.20000000
213.784,4.86500000,5.19000000
213.800,4.89000000,5.17500000
213.816,4.90500000,5.09500000
213.832,4.89500000,5.04000000
213.848,4.90000000,5.02500000
213.864,4.83000000,5.01000000
213.880,4.82500000,5.00000000
213.896,4.83000000,5.00000000
213.912,4.82000000,4.97500000
213.928,4.81000000,4.97500000
213.944,4.82000000,4.96000000
213.960,4.84000000,4.95500000
213.976,4.83000000,4.94000000
213.992,4.85500000,4.94500000
214.008,4.85000000,4.96000000
214.024,4.90500000,5.06500000
214.040,5.48500000,5.50000000
214.056,5.28000000,5.23500000
214.072,5.36500000,4.50500000
214.088,5.36500000,3.08000000
214.104,5.37500000,2.45000000
214.120,5.19000000,2.13500000
214.136,4.81500000,2.06500000
214.152,4.79500000,2.10500000
214.168,4.72000000,2.56500000
214.184,4.74000000,3.60000000
214.200,4.74000000,4.54500000
214.216,4.74500000,5.51500000
214.232,4.73000000,5.90000000
214.248,4.75500000,6.08000000
214.264,4.77000000,6.25000000
214.280,4.75000000,6.42500000
214.296,4.75500000,6.61500000
214.312,4.75500000,6.80500000
214.328,4.78000000,6.96000000
214.344,4.84000000,7.06000000
214.360,4.84000000,7.05500000
214.376,4.92000000,6.91500000
214.392,4.98000000,6.63000000
214.408,4.98000000,6.33000000
214.424,5.01500000,6.00000000
214.440,4.98000000,5.71500000
214.456,4.95500000,5.50000000
214.472,4.96500000,5.35500000
214.488,4.94000000,5.24500000
214.504,4.93500000,5.18000000
214.520,4.94500000,5.14500000
214.536,4.92500000,5.12500000
214.552,4.92500000,5.10000000
214.568,4.92000000,5.10000000
214.584,4.93500000,5.10000000
214.600,4.89000000,5.10000000
214.616,4.92500000,5.10000000
214.632,4.87500000,5.08500000
214.648,4.85500000,5.07000000
214.664,4.88000000,5.04500000
214.680,4.82000000,5.02500000
214.696,4.86500000,5.00000000
214.712,4.85000000,4.98500000
214.728,4.88500000,4.97500000
214.744,4.88000000,4.98000000
214.760,4.85500000,5.00000000
214.776,4.87500000,5.00000000
214.792,4.91000000,4.95500000
214.808,4.91000000,4.92000000
214.824,4.91500000,4.87500000
214.840,4.91500000,4.91000000
214.856,4.90500000,4.92500000
214.872,4.98500000,5.95500000
214.888,5.71000000,5.31500000
214.904,5.36500000,4.94000000
214.920,5.47500000,3.78500000
214.936,5.52000000,2.99500000
214.952,5.44500000,2.37500000
214.968,5.05500000,2.14000000
214.984,4.85500000,2.07500000
215.000,4.72000000,2.35500000
215.016,4.73500000,3.49500000
215.032,4.71000000,4.71500000
215.048,4.68000000,5.51000000
215.064,4.70000000,5.83000000
215.080,4.69000000,6.02000000
215.096,4.70500000,6.17500000
215.112,4.70500000,6.36000000
215.128,4.68500000,6.55000000
215.144,4.69000000,6.72500000
215.160,4.70500000,6.88500000
215.176,4.74000000,6.97500000
215.192,4.80000000,6.92000000
215.208,4.84500000,6.70500000
215.224,4.89000000,6.42500000
215.240,4.90500000,6.09000000
215.256,4.91000000,5.77000000
215.272,4.89000000,5.53500000
215.288,4.88000000,5.36000000
215.304,4.86000000,5.25000000
215.320,4.85500000,5.18000000
215.336,4.85000000,5.15000000
215.352,4.84500000,5.12500000
215.368,4.85000000,5.11500000
215.384,4.84500000,5.12000000
215.400,4.84500000,5.12000000
215.416,4.85500000,5.12500000
215.432,4.84000000,5.12000000
215.448,4.83000000,5.10500000
215.464,4.81500000,5.09000000
215.480,4.80500000,5.07000000
215.496,4.80000000,5.04500000
215.512,4.78000000,5.01000000
215.528,4.78500000,5.00500000
215.544,4.78000000,4.99000000
215.560,4.77500000,4.97000000
215.576,4.77000000,4.96500000
215.592,4.77000000,4.94500000
215.608,4.77500000,4.95500000
215.624,4.78000000,4.94000000
215.640,4.78000000,4.94000000
215.656,4.78500000,4.94000000
215.672,4.80500000,5.02000000
215.688,5.03000000,5.74500000
215.704,5.36500000,5.30500000
215.720,5.28000000,4.68000000
215.736,5.32000000,3.28000000
215.752,5.31000000,2.45500000
215.768,5.11500000,2.08500000
215.784,4.70500000,2.02500000
215.800,4.75000000,2.05500000
215.816,4.69500000,2.64000000
215.832,4.70000000,3.79500000
215.848,4.64000000,4.93500000
215.864,4.62000000,5.65000000
215.880,4.60500000,5.88000000
215.896,4.62000000,6.04000000
215.912,4.61500000,6.20000000
215.928,4.61000000,6.36500000
215.944,4.61000000,6.53500000
215.960,4.62500000,6.71500000
215.976,4.65500000,6.87000000
215.992,4.69500000,6.95500000
216.008,4.75000000,6.92000000
216.024,4.81500000,6.73500000
216.040,4.85000000,6.43000000
216.056,4.88500000,6.07500000
216.072,4.88500000,5.75000000
216.088,4.88000000,5.48500000
216.104,4.86000000,5.32500000
216.120,4.83500000,5.23000000
216.136,4.84000000,5.20000000
216.152,4.82000000,5.17500000
216.168,4.84000000,5.17000000
216.184,4.82500000,5.17000000
216.200,4.81000000,5.16000000
216.216,4.81000000,5.16000000
216.232,4.79000000,5.14500000
216.248,4.78000000,5.12500000
216.264,4.79000000,5.10000000
216.280,4.76500000,5.06500000
216.296,4.78000000,5.04500000
216.312,4.74000000,5.02500000
216.328,4.73500000,5.01500000
216.344,4.73000000,4.99500000
216.360,4.76500000,4.97500000
216.376,4.75500000,4.96500000
216.392,4.75500000,4.96000000
216.408,4.78000000,4.95500000
216.424,4.75500000,4.95000000
216.440,4.76000000,4.95500000
216.456,4.78000000,4.95000000
216.472,4.79500000,4.99000000
216.488,5.06500000,5.62500000
216.504,5.24500000,5.23500000
216.520,5.25000000,4.47000000
216.536,5.24500000,3.03000000
216.552,5.23000000,2.37500000
216.568,4.95500000,2.10000000
216.584,4.58000000,2.05500000
216.600,4.64500000,2.12000000
216.616,4.62000000,2.91000000
216.632,4.69500000,4.20000000
216.648,4.65000000,5.25500000
216.664,4.68500000,5.79000000
216.680,4.63000000,5.97500000
216.696,4.66500000,6.10500000
216.712,4.62500000,6.22000000
216.728,4.60000000,6.34500000
216.744,4.59500000,6.51500000
216.760,4.65000000,6.67000000
216.776,4.67000000,6.80500000
216.792,4.72500000,6.89500000
216.808,4.78000000,6.86000000
216.824,4.86500000,6.64500000
216.840,4.92000000,6.31000000
216.856,4.93500000,5.93500000
216.872,4.91000000,5.65000000
216.888,4.88000000,5.42500000
216.904,4.86000000,5.30500000
216.920,4.83500000,5.24500000
216.936,4.83500000,5.22000000
216.952,4.79500000,5.20500000
216.968,4.81000000,5.18500000
216.984,4.73500000,5.07500000
217.000,4.64500000,5.01500000
217.016,4.54500000,5.52500000
217.032,4.69500000,6.36500000
217.048,5.02000000,7.34500000
217.064,5.32000000,7.60500000
217.080,4.47500000,5.34500000
217.096,4.08500000,4.69000000
217.112,4.38500000,4.46000000
217.128,4.59500000,4.31000000
217.144,4.65000000,4.19000000
217.160,4.67000000,4.09500000
217.176,4.67500000,4.01000000
217.192,4.70000000,3.90000000
217.208,4.73500000,3.81000000
217.224,4.76500000,3.74000000
217.240,4.78000000,3.67500000
217.256,4.79000000,3.66500000
217.272,4.78000000,3.72500000
217.288,4.76500000,3.89500000
217.304,4.77000000,4.18500000
217.320,4.79500000,4.54000000
217.336,4.81000000,4.83000000
217.352,4.79000000,4.97500000
217.368,4.78000000,5.04000000
217.384,4.77000000,5.07000000
217.400,4.77000000,5.07000000
217.416,4.76000000,5.07500000
217.432,4.74000000,5.07500000
217.448,4.74000000,5.08000000
217.464,4.72500000,5.11000000
217.480,4.74000000,5.11000000
217.496,4.74500000,5.07000000
217.512,4.77000000,5.02000000
217.528,4.77000000,4.98000000
217.544,4.74500000,5.02000000
217.560,4.72000000,5.01500000
217.576,4.72000000,5.01500000
217.592,4.71000000,5.02500000
217.608,4.73000000,5.03000000
217.624,4.71500000,5.03000000
217.640,4.72000000,5.04000000
217.656,4.72000000,5.05000000
217.672,4.72000000,5.05500000
217.688,4.72000000,5.06000000
217.704,4.72500000,5.07500000
217.720,4.71500000,5.08000000
217.736,4.72500000,5.09000000
217.752,4.72500000,5.09000000
217.768,4.72500000,5.09500000
217.784,4.73000000,5.10000000
217.800,4.72500000,5.10000000
217.816,4.74500000,5.09500000
217.832,4.75000000,5.10000000
217.848,4.75500000,5.10000000
217.864,4.77000000,5.10500000
217.880,4.86500000,6.07500000
217.896,5.85000000,5.50500000
217.912,5.23000000,5.11500000
217.928,5.28500000,3.84500000
217.944,5.27500000,2.88000000
217.960,5.25000000,2.43000000
217.976,4.96500000,2.25500000
217.992,4.89000000,2.25000000
218.008,4.75500000,2.70500000
218.024,4.69000000,3.69000000
218.040,4.68000000,4.88500000
218.056,4.61500000,5.66500000
218.072,4.64000000,6.05000000
218.088,4.65500000,6.27000000
218.104,4.65500000,6.49000000
218.120,4.66500000,6.71500000
218.136,4.66000000,6.94500000
218.152,4.69000000,7.15500000
218.168,4.71000000,7.32000000
218.184,4.73000000,7.41500000
218.200,4.76500000,7.40500000
218.216,4.84000000,7.24500000
218.232,4.89000000,6.99500000
218.248,4.91000000,6.66500000
218.264,4.94500000,6.33000000
218.280,4.96000000,6.02000000
218.296,4.93500000,5.75000000
218.312,4.91000000,5.54500000
218.328,4.90000000,5.40500000
218.344,4.88500000,5.30500000
218.360,4.87000000,5.25000000
218.376,4.85500000,5.22500000
218.392,4.86000000,5.22000000
218.408,4.83500000,5.25000000
218.424,4.82500000,5.27000000
218.440,4.83000000,5.27500000
218.456,4.85500000,5.23500000
218.472,4.84000000,5.18500000
218.488,4.83000000,5.14500000
218.504,4.79500000,5.15000000
218.520,4.78500000,5.11500000
218.536,4.78500000,5.11000000
218.552,4.75500000,5.08000000
218.568,4.78500000,5.05500000
218.584,4.77000000,5.04000000
218.600,4.76500000,5.03000000
218.616,4.76500000,5.02000000
218.632,4.77500000,5.02500000
218.648,4.77000000,5.02000000
218.664,4.75500000,5.01500000
218.680,4.80000000,5.01500000
218.696,4.82500000,5.19000000
218.712,5.53500000,5.41500000
218.728,5.15000000,5.16500000
218.744,5.28000000,4.08000000
218.760,5.25500000,2.72500000
218.776,5.22500000,2.26000000
218.792,4.96000000,2.08000000
218.808,4.68000000,2.06500000
218.824,4.70000000,2.28000000
218.840,4.65500000,3.15500000
218.856,4.70000000,4.43000000
218.872,4.65500000,5.35000000
218.888,4.70500000,5.83500000
218.904,4.71500000,6.03000000
218.920,4.72000000,6.19500000
218.936,4.71000000,6.37500000
218.952,4.73000000,6.54500000
218.968,4.73500000,6.73500000
218.984,4.78500000,6.91000000
219.000,4.80500000,6.99000000
219.016,4.85500000,7.02000000
219.032,4.93000000,6.88000000
219.048,4.98000000,6.60000000
219.064,5.03000000,6.27000000
219.080,4.99000000,5.92500000
219.096,5.01500000,5.65000000
219.112,4.97000000,5.43500000
219.128,4.95000000,5.29000000
219.144,4.94000000,5.19000000
219.160,4.95000000,5.13500000
219.176,4.94000000,5.10000000
219.192,4.90000000,5.08500000
219.208,4.93500000,5.07500000
219.224,4.93500000,5.08000000
219.240,4.91500000,5.10000000
219.256,4.93000000,5.08000000
219.272,4.91000000,5.08000000
219.288,4.91500000,5.07000000
219.304,4.96000000,5.06500000
219.320,4.92500000,5.02500000
219.336,4.87500000,5.01000000
219.352,4.91000000,5.00000000
219.368,4.92500000,4.99000000
219.384,4.91500000,5.01000000
219.400,4.87000000,5.01500000
219.416,4.89000000,5.01000000
219.432,4.93500000,4.97500000
219.448,4.94500000,4.95500000
219.464,4.97500000,4.90000000
219.480,4.94500000,4.92000000
219.496,4.90500000,4.92000000
219.512,4.90000000,4.91500000
219.528,4.92500000,4.93500000
219.544,4.97500000,5.73000000
219.560,5.88500000,5.35500000
219.576,5.34500000,5.17500000
219.592,5.46500000,4.39500000
219.608,5.53000000,3.41500000
219.624,5.61500000,2.78000000
219.640,5.42500000,2.29000000
219.656,4.99500000,2.10500000
219.672,4.90500000,2.09500000
219.688,4.75000000,2.47500000
219.704,4.78000000,3.39500000
219.720,4.78500000,4.50000000
219.736,4.76000000,5.35500000
219.752,4.78500000,5.78500000
219.768,4.80500000,5.95500000
219.784,4.80500000,6.11000000
219.800,4.78500000,6.22000000
219.816,4.79500000,6.42500000
219.832,4.78000000,6.60500000
219.848,4.77500000,6.79000000
219.864,4.81000000,6.92500000
219.880,4.83500000,6.96500000
219.896,4.88000000,6.89500000
219.912,4.93000000,6.71000000
219.928,4.95500000,6.44000000
219.944,4.98500000,6.11000000
219.960,4.99000000,5.79500000
219.976,4.97500000,5.54500000
219.992,4.95500000,5.38000000
